Trait	nSNP	overall_p	mscomp	ratio_coveredSNP
IL7_Hoglund_31727947_1	5404	0.277703459599298	PC26 (2e-02)	0.97916289182823
IL8_AholaOlli_27989323_1	4959	0.0286282357496563	PC24 (5e-06)	0.898532342815727
IL8_Folkersen_33067605_1	5483	0.00594610667753436	PC15 (2e-03)	0.993477079181011
IL8_Hoglund_31727947_1	5413	0.900154834571663	PC6 (5e-02)	0.980793622032977
IL8_Hoglund_31727947_2	5439	0.79296307816095	PC28 (6e-02)	0.985504620402247
IL9_AholaOlli_27989323_1	4969	0.0779547231671134	PC10 (2e-02)	0.900344265265447
IP10_AholaOlli_27989323_1	4958	0.0987555994734589	PC7 (2e-03)	0.898351150570756
IP10_Hoglund_31727947_1	5413	0.14027701973274	PC40 (3e-02)	0.980793622032977
IP10_Hoglund_31727947_2	5439	0.948386044785744	PC38 (5e-02)	0.985504620402247
IP9_Hoglund_31727947_1	5413	0.418190422650423	PC12 (4e-02)	0.980793622032977
IP9_Hoglund_31727947_2	5439	0.640971010513778	PC17 (1e-02)	0.985504620402247
K11_Folkersen_33067605_1	5351	0.0768346243059264	PC18 (1e-02)	0.969559702844718
K6_Folkersen_33067605_1	5491	0.174708678596773	PC19 (2e-02)	0.994926617140786
KIM1_Folkersen_33067605_1	5491	0.486964899552032	PC32 (3e-03)	0.994926617140786
LEP_Folkersen_33067605_1	5491	0.108878675043399	PC38 (1e-02)	0.994926617140786
LIF_Hoglund_31727947_1	5038	0.544452817628328	PC24 (3e-03)	0.912846530168509
LIFR_Hoglund_31727947_1	5413	0.65088924090654	PC38 (4e-02)	0.980793622032977
LOX1_Folkersen_33067605_1	5491	1.86812152167471e-05	PC19 (3e-04)	0.994926617140786
MAMP_Folkersen_33067605_1	4941	0.448725626330065	PC10 (4e-02)	0.895270882406233
MB_Folkersen_33067605_1	5491	0.575294430030201	PC14 (4e-02)	0.994926617140786
MCP1_AholaOlli_27989323_1	5019	2.92677212075182e-46	PC26 (1e-16)	0.909403877514042
MCP1_Folkersen_33067605_1	5491	2.55454334375654e-33	PC26 (8e-09)	0.994926617140786
MCP1_Hoglund_31727947_1	5413	0.0130787686451349	PC8 (8e-03)	0.980793622032977
MCP1_Hoglund_31727947_2	5439	0.0161556358516201	PC19 (2e-02)	0.985504620402247
MCP2_Hoglund_31727947_1	5413	1.56749814757489e-18	PC7 (2e-03)	0.980793622032977
MCP3_AholaOlli_27989323_1	4307	0.188275553772654	PC35 (6e-03)	0.780394999094039
MCP3_Hoglund_31727947_1	5413	9.89087562591165e-05	PC25 (7e-04)	0.980793622032977
MCP4_Hoglund_31727947_1	5413	2.24051205894094e-27	PC26 (2e-12)	0.980793622032977
MCSF_AholaOlli_27989323_1	4843	0.656508612460398	PC20 (4e-02)	0.877514042398985
MCSF_Folkersen_33067605_1	5483	0.508031080461719	PC26 (5e-02)	0.993477079181011
MCSF_Hoglund_31727947_1	5413	0.401757912256434	PC7 (7e-03)	0.980793622032977
MCSF_Hoglund_31727947_2	5439	0.558823080400567	PC26 (2e-04)	0.985504620402247
MIF_AholaOlli_27989323_1	4959	0.528835551943205	PC40 (2e-03)	0.898532342815727
MIG_AholaOlli_27989323_1	4953	0.331464510021442	PC7 (2e-03)	0.897445189345896
MIG_Hoglund_31727947_1	5413	0.60011086413857	PC40 (1e-02)	0.980793622032977
MIG_Hoglund_31727947_2	5439	0.795723015178254	PC39 (2e-01)	0.985504620402247
MIP1A_AholaOlli_27989323_1	4953	0.330255771893946	PC24 (2e-03)	0.897445189345896
MIP1A_Folkersen_33067605_1	5491	4.75159314443981e-17	PC19 (2e-04)	0.994926617140786
MIP1A_Hoglund_31727947_1	5411	0.570142105105176	PC3 (4e-02)	0.980431237543033
MIP1A_Hoglund_31727947_2	5423	0.818040089050949	PC36 (1e-01)	0.982605544482696
MIP1B_AholaOlli_27989323_1	5025	2.63487202271927e-39	PC40 (7e-12)	0.910491030983874
MIP1B_Folkersen_33067605_1	5483	2.77947563951939e-27	PC28 (1e-04)	0.993477079181011
MIP1B_Hoglund_31727947_1	5413	0.17351960873633	PC28 (7e-03)	0.980793622032977
MIP1B_Hoglund_31727947_2	5439	0.0176460427232243	PC28 (8e-04)	0.985504620402247
MLSN_Folkersen_33067605_1	5336	0.00497715547860565	PC26 (1e-02)	0.96684181917014
MMP1_Folkersen_33067605_1	5483	5.10049173665276e-13	PC32 (3e-07)	0.993477079181011
MMP1_Hoglund_31727947_1	5397	0.275013303543176	PC14 (8e-03)	0.977894546113426
MMP1_Hoglund_31727947_2	5437	0.666485840809323	PC27 (9e-03)	0.985142235912303
MMP10_Folkersen_33067605_1	5483	3.80085950756215e-12	PC38 (6e-07)	0.993477079181011
MMP10_Hoglund_31727947_1	5413	0.585442824036065	PC24 (1e-02)	0.980793622032977
MMP10_Hoglund_31727947_2	5439	0.530074524414749	PC24 (5e-02)	0.985504620402247
MMP12_Folkersen_33067605_1	5491	0.0219030777782235	PC1 (2e-03)	0.994926617140786
MMP3_Folkersen_33067605_1	5491	0.56324288618771	PC6 (2e-02)	0.994926617140786
MMP7_Folkersen_33067605_1	5489	0.0231247672375545	PC14 (2e-02)	0.994564232650843
MPO_Folkersen_33067605_1	5491	3.52896650644454e-06	PC5 (6e-04)	0.994926617140786
NEMO_Folkersen_33067605_1	5489	0.0779976774960928	PC35 (3e-04)	0.994564232650843
NRTN_Hoglund_31727947_1	5022	0.677526663387178	PC35 (3e-02)	0.909947454248958
