Trait	nSNP
SCGFb_AholaOlli_27989323_1	600495
SCYB16_Folkersen_33067605_1	639533
SDF1a_AholaOlli_27989323_1	603510
SIRT2_Folkersen_33067605_1	638551
SIRT2_Hoglund_31727947_1	633878
SIRT2_Hoglund_31727947_2	633995
SLAMF1_Hoglund_31727947_1	633315
SLE_Julia_29848360_1	527374
SPON1_Folkersen_33067605_1	634147
SRC_Folkersen_33067605_1	639498
ST2_Folkersen_33067605_1	639112
STAMBP_Hoglund_31727947_1	633882
SULT1A1_Hoglund_31727947_1	633373
T1D_Chiou_34012112_1	639996
TF_Folkersen_33067605_1	639493
TGFa_Hoglund_31727947_1	633639
TGFa_Hoglund_31727947_2	624229
TGFb1_Hoglund_31727947_1	633882
TGFb1_Hoglund_31727947_2	634893
TIE2_Folkersen_33067605_1	639504
TM_Folkersen_33067605_1	639502
TNFa_AholaOlli_27989323_1	599315
TNFb_AholaOlli_27989323_1	473904
TNFb_Hoglund_31727947_1	633882
TNFR1_Folkersen_33067605_1	639527
TNFR2_Folkersen_33067605_1	639523
TNFRSF9_Hoglund_31727947_1	633882
TNFSF14_Folkersen_33067605_1	638749
TNFSF14_Hoglund_31727947_1	633876
TNFSF14_Hoglund_31727947_2	630901
TPA_Folkersen_33067605_1	639534
TRAIL_AholaOlli_27989323_1	604488
TRAIL_Folkersen_33067605_1	638112
TRAIL_Hoglund_31727947_1	634867
TRAILR2_Folkersen_33067605_1	639497
TRANCE_Folkersen_33067605_1	638846
TRANCE_Hoglund_31727947_1	633882
TRANCE_Hoglund_31727947_2	634852
TWEAK_Hoglund_31727947_1	633882
UC_DeLange_28067908_1	606515
UPA_Hoglund_31727947_1	633875
UPAR_Folkersen_33067605_1	639535
VEGF_AholaOlli_27989323_1	604471
VEGF_Folkersen_33067605_1	638857
VEGFA_Hoglund_31727947_1	633639
VEGFA_Hoglund_31727947_2	634893
VEGFD_Folkersen_33067605_1	639498
